Rk,Player,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Darius Johnson-Odom\darius-johnson-odom-1,37,35,30.0,5.3,12.2,.433,3.4,7.0,.484,1.9,5.3,.364,3.3,4.6,.708,0.5,2.5,3.0,2.4,0.8,0.2,2.0,2.5,15.8
2,Jimmy Butler\jimmy-butler-1,37,35,34.6,5.1,10.3,.490,4.5,8.8,.515,0.5,1.6,.345,5.1,6.5,.783,2.4,3.6,6.1,2.3,1.4,0.4,1.5,1.3,15.7
3,Jae Crowder\jae-crowder-1,37,17,27.6,4.3,8.8,.485,3.1,5.6,.555,1.1,3.2,.359,2.1,3.4,.616,2.2,4.5,6.8,1.6,1.3,0.9,0.8,2.3,11.8
4,Dwight Buycks\dwight-buycks-1,36,29,28.1,3.3,7.1,.461,2.2,4.4,.491,1.1,2.6,.411,1.3,1.8,.682,0.7,2.4,3.1,3.4,1.1,0.1,2.3,1.5,8.8
5,Vander Blue\vander-blue-1,37,12,19.0,1.9,4.7,.394,1.8,4.1,.433,0.1,0.7,.160,1.2,2.0,.608,0.8,2.0,2.8,1.6,0.9,0.2,1.4,1.8,5.1
6,Chris Otule\chris-otule-1,37,35,17.6,2.0,3.6,.553,2.0,3.6,.553,0.0,0.0,,1.1,1.9,.583,1.6,2.1,3.6,0.1,0.3,1.5,1.1,2.7,5.1
7,Davante Gardner\davante-gardner-1,33,0,9.0,1.6,2.8,.576,1.6,2.8,.576,0.0,0.0,,1.4,1.8,.754,1.1,1.2,2.2,0.3,0.1,0.2,0.6,1.4,4.6
8,Junior Cadougan\junior-cadougan-1,36,5,19.8,1.3,3.0,.422,1.2,2.7,.458,0.1,0.4,.154,1.4,2.2,.638,0.3,1.5,1.8,3.2,0.6,0.1,1.6,1.8,4.0
9,Joe Fulce\joe-fulce-1,29,1,8.8,1.2,2.6,.480,1.0,1.9,.527,0.2,0.7,.350,0.4,0.4,1.000,0.5,1.6,2.1,0.4,0.2,0.2,0.2,1.2,3.2
10,Erik Williams\erik-williams-1,24,11,7.0,1.0,2.0,.479,1.0,1.9,.500,0.0,0.1,.000,0.3,0.4,.700,0.7,0.9,1.6,0.1,0.2,0.0,0.3,0.7,2.2
11,Jamail Jones\jamail-jones-1,18,0,6.1,0.5,1.6,.310,0.3,0.7,.385,0.2,0.9,.250,0.3,0.3,1.000,0.4,0.8,1.2,0.2,0.3,0.1,0.5,0.6,1.5
12,Reggie Smith\reggie-smith-2,8,5,9.9,0.5,1.4,.364,0.4,0.9,.429,0.1,0.5,.250,0.3,0.8,.333,0.5,1.0,1.5,1.6,1.1,0.3,1.6,0.5,1.4
13,Robert Frozena\robert-frozena-1,14,0,1.9,0.1,0.6,.250,0.1,0.4,.167,0.1,0.1,.500,0.2,0.3,.750,0.1,0.1,0.3,0.1,0.1,0.0,0.0,0.2,0.6