Rk,Date,School,X4,Opponent,Type,X7,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,player
1,2010-11-12,Marquette,NA,Prairie View,REG,W,1,28,2,3,0.667,2,3,0.667,0,0,NA,3,6,0.5,3,4,7,5,4,3,4,3,7,Vander Blue
2,2010-11-14,Marquette,NA,Bucknell,REG,W,1,26,3,8,0.375,2,5,0.4,1,3,0.333,1,2,0.5,0,0,0,2,2,0,1,2,8,Vander Blue
3,2010-11-17,Marquette,NA,Green Bay,REG,W,1,23,7,10,0.7,7,9,0.778,0,1,0,0,1,0,1,2,3,2,1,0,2,3,14,Vander Blue
4,2010-11-20,Marquette,NA,South Dakota,REG,W,1,32,3,10,0.3,3,9,0.333,0,1,0,1,4,0.25,3,2,5,6,1,0,1,3,7,Vander Blue
5,2010-11-22,Marquette,N,Duke,REG,L,1,25,2,6,0.333,1,3,0.333,1,3,0.333,0,0,NA,0,4,4,1,2,0,1,1,5,Vander Blue
6,2010-11-23,Marquette,N,Gonzaga,REG,L,1,24,1,7,0.143,1,5,0.2,0,2,0,2,2,1,1,3,4,2,2,0,3,2,4,Vander Blue
7,2010-11-27,Marquette,@,Milwaukee,REG,W,0,20,3,7,0.429,2,5,0.4,1,2,0.5,0,0,NA,0,1,1,0,1,0,2,2,7,Vander Blue
8,2010-12-04,Marquette,NA,Longwood,REG,W,0,25,4,8,0.5,4,8,0.5,0,0,NA,4,4,1,0,0,0,2,1,0,4,1,12,Vander Blue
9,2010-12-07,Marquette,NA,Texas A&M-Corpus Christi,REG,W,1,29,9,13,0.692,8,11,0.727,1,2,0.5,2,2,1,0,5,5,4,3,2,2,2,21,Vander Blue
10,2010-12-11,Marquette,NA,Wisconsin,REG,L,1,29,2,4,0.5,2,3,0.667,0,1,0,3,4,0.75,0,3,3,1,1,0,0,2,7,Vander Blue
11,2010-12-18,Marquette,NA,Centenary (LA),REG,W,1,31,8,10,0.8,8,10,0.8,0,0,NA,0,1,0,3,6,9,5,1,0,3,2,16,Vander Blue
12,2010-12-21,Marquette,NA,Mississippi Valley State,REG,W,1,32,3,8,0.375,3,8,0.375,0,0,NA,9,11,0.818,0,2,2,5,3,2,3,2,15,Vander Blue
13,2010-12-29,Marquette,@,Vanderbilt,REG,L,0,22,4,9,0.444,4,7,0.571,0,2,0,2,3,0.667,0,2,2,3,2,0,0,3,10,Vander Blue
14,2011-01-01,Marquette,NA,West Virginia,REG,W,0,20,2,5,0.4,2,5,0.4,0,0,NA,2,2,1,1,4,5,4,0,0,1,1,6,Vander Blue
15,2011-01-05,Marquette,@,Rutgers,REG,W,0,30,2,4,0.5,2,4,0.5,0,0,NA,2,5,0.4,2,3,5,0,1,0,3,1,6,Vander Blue
16,2011-01-08,Marquette,@,Pitt,REG,L,0,21,1,5,0.2,1,4,0.25,0,1,0,2,3,0.667,1,2,3,1,0,0,0,4,4,Vander Blue
17,2011-01-10,Marquette,NA,Notre Dame,REG,W,0,20,0,3,0,0,3,0,0,0,NA,2,4,0.5,1,2,3,2,0,0,2,2,2,Vander Blue
18,2011-01-15,Marquette,@,Louisville,REG,L,0,5,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,1,3,0,Vander Blue
19,2011-01-18,Marquette,NA,DePaul,REG,W,0,22,5,6,0.833,5,6,0.833,0,0,NA,2,3,0.667,0,2,2,2,1,0,2,1,12,Vander Blue
20,2011-01-22,Marquette,@,Notre Dame,REG,L,0,13,0,1,0,0,1,0,0,0,NA,0,0,NA,0,1,1,2,0,0,1,3,0,Vander Blue
21,2011-01-25,Marquette,NA,UConn,REG,L,0,18,0,4,0,0,3,0,0,1,0,0,1,0,0,3,3,1,0,0,0,1,0,Vander Blue
22,2011-01-29,Marquette,NA,Syracuse,REG,W,0,12,1,4,0.25,1,3,0.333,0,1,0,0,0,NA,1,0,1,0,0,0,2,1,2,Vander Blue
23,2011-02-02,Marquette,@,Villanova,REG,L,0,12,1,2,0.5,1,1,1,0,1,0,0,1,0,1,0,1,0,1,0,0,3,2,Vander Blue
24,2011-02-09,Marquette,@,South Florida,REG,W,1,21,1,9,0.111,1,8,0.125,0,1,0,0,2,0,3,3,6,2,1,0,1,0,2,Vander Blue
25,2011-02-13,Marquette,@,Georgetown,REG,L,1,16,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,4,4,1,0,0,0,2,0,Vander Blue
26,2011-02-15,Marquette,NA,St. John's (NY),REG,L,0,7,0,1,0,0,1,0,0,0,NA,0,0,NA,0,1,1,1,0,0,2,2,0,Vander Blue
27,2011-02-19,Marquette,NA,Seton Hall,REG,W,0,6,0,0,NA,0,0,NA,0,0,NA,0,0,NA,1,0,1,1,0,0,3,0,0,Vander Blue
28,2011-02-24,Marquette,@,UConn,REG,W,0,20,1,4,0.25,1,3,0.333,0,1,0,5,6,0.833,1,1,2,0,1,0,0,0,7,Vander Blue
29,2011-02-27,Marquette,NA,Providence,REG,W,0,10,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,1,1,1,0,0,1,0,0,Vander Blue
30,2011-03-02,Marquette,NA,Cincinnati,REG,L,0,7,1,5,0.2,1,4,0.25,0,1,0,0,0,NA,1,0,1,1,1,0,0,1,2,Vander Blue
31,2011-03-05,Marquette,@,Seton Hall,REG,L,0,17,1,4,0.25,1,4,0.25,0,0,NA,1,2,0.5,2,3,5,0,0,0,1,3,3,Vander Blue
32,2011-03-08,Marquette,N,Providence,CTOURN,W,0,16,2,6,0.333,2,5,0.4,0,1,0,0,2,0,3,4,7,0,0,0,1,2,4,Vander Blue
33,2011-03-09,Marquette,N,West Virginia,CTOURN,W,0,15,0,2,0,0,2,0,0,0,NA,0,0,NA,2,2,4,0,1,0,1,2,0,Vander Blue
34,2011-03-10,Marquette,N,Louisville,CTOURN,L,0,19,0,3,0,0,3,0,0,0,NA,0,1,0,0,0,0,1,0,1,1,3,0,Vander Blue
35,2011-03-18,Marquette,N,Xavier,NCAA,W,0,8,0,1,0,0,1,0,0,0,NA,0,0,NA,0,2,2,0,0,0,0,2,0,Vander Blue
36,2011-03-20,Marquette,N,Syracuse,NCAA,W,0,6,0,1,0,0,1,0,0,0,NA,0,0,NA,0,1,1,0,1,0,1,0,0,Vander Blue
37,2011-03-25,Marquette,N,UNC,NCAA,L,0,16,0,2,0,0,2,0,0,0,NA,2,2,1,0,0,0,1,1,0,1,1,2,Vander Blue
NA,37 Games,NA,NA,NA,NA,NA,12,703,69,175,0.394,65,150,0.433,4,25,0.16,45,74,0.608,31,73,104,59,33,8,51,66,187,Vander Blue
